PDEC.223.1.P00010054	PJENN.M.1.P00330030,PJENN.M.1.P01930052	PNOV.TE.1.P01410040,PNOV.TE.1.P00360013	POCT.K8.1.P71800002769770160
PDEC.223.1.P00390102,PDEC.223.1.P01020089	PJENN.M.1.P00830084,PJENN.M.1.P00360076	PNOV.TE.1.P00140062	POCT.K8.1.P71800002770200290,POCT.K8.1.P71800002770220055
PDEC.223.1.P00390146,PDEC.223.1.P01020126	PJENN.M.1.P00830037,PJENN.M.1.P00360032	PNOV.TE.1.P00140021,PNOV.TE.1.P00980070	POCT.K8.1.P71800002770200332,POCT.K8.1.P71800002770220019
PDEC.223.1.P00390157	PJENN.M.1.P00830029,PJENN.M.1.P00360025	PNOV.TE.1.P00140014	POCT.K8.1.P71800002770200340
PDEC.223.1.P00390158,PDEC.223.1.P01020136	PJENN.M.1.P00360024,PJENN.M.1.P00830028	PNOV.TE.1.P00140013,PNOV.TE.1.P00980079	POCT.K8.1.P71800002770200341
PDEC.223.1.P00010074,PDEC.223.1.P00400117	PJENN.M.1.P00330009,PJENN.M.1.P01930074	PNOV.TE.1.P01410021,PNOV.TE.1.P00360035	POCT.K8.1.P71800002769770179,POCT.K8.1.P71800002769360117
PDEC.223.1.P00010070,PDEC.223.1.P00400121	PJENN.M.1.P00330016	PNOV.TE.1.P01410025,PNOV.TE.1.P00360031	POCT.K8.1.P71800002769770175,POCT.K8.1.P71800002769360113
PDEC.223.1.P00010079,PDEC.223.1.P00400112	PJENN.M.1.P00330004,PJENN.M.1.P01930081	PNOV.TE.1.P01410016,PNOV.TE.1.P00360039	POCT.K8.1.P71800002769770183,POCT.K8.1.P71800002769360121
PDEC.223.1.P00010075,PDEC.223.1.P00400116	PJENN.M.1.P00330008,PJENN.M.1.P01930076	PNOV.TE.1.P01410020,PNOV.TE.1.P00360036	POCT.K8.1.P71800002769770180,POCT.K8.1.P71800002769360118
PDEC.223.1.P00010069,PDEC.223.1.P00400122	PJENN.M.1.P00330015	PNOV.TE.1.P01410026,PNOV.TE.1.P00360030	POCT.K8.1.P71800002769770174,POCT.K8.1.P71800002769360112
PDEC.223.1.P00410162,PDEC.223.1.P02030049	PJENN.M.1.P02970030,PJENN.M.1.P03250019	PNOV.TE.1.P05690015,PNOV.TE.1.P02630018	POCT.K8.1.P71800002770460018,POCT.K8.1.P71800002770690147
PDEC.223.1.P00420105	PJENN.M.1.P00130143	PNOV.TE.1.P05350013	POCT.K8.1.P71800002770200120
PDEC.223.1.P00730097,PDEC.223.1.P00420130	PJENN.M.1.P00130171,PJENN.M.1.P01390036	PNOV.TE.1.P07580015,PNOV.TE.1.P07860012	POCT.K8.1.P71800002770220189,POCT.K8.1.P71800002770200147
PDEC.223.1.P00730125,PDEC.223.1.P00420156	PJENN.M.1.P00130205,NA	PNOV.TE.1.P02610021,PNOV.TE.1.P03090019	POCT.K8.1.P71800002770220163,POCT.K8.1.P71800002770200174
NA,PDEC.223.1.P00420039	PJENN.M.1.P00130071,PJENN.M.1.P01340024	PNOV.TE.1.P07410010,PNOV.TE.1.P07780008	POCT.K8.1.P71800002770200053
PDEC.223.1.P00420042	PJENN.M.1.P00130074	PNOV.TE.1.P07780010	POCT.K8.1.P71800002770200056
PDEC.223.1.P00730009,PDEC.223.1.P00420045	PJENN.M.1.P00130077,PJENN.M.1.P01340020	PNOV.TE.1.P07410004,PNOV.TE.1.P07780012	POCT.K8.1.P71800002770220282,POCT.K8.1.P71800002770200059
PDEC.223.1.P00730029,PDEC.223.1.P00420066	PJENN.M.1.P00130100,PJENN.M.1.P01390117	PNOV.TE.1.P02390025,PNOV.TE.1.P02890023	POCT.K8.1.P71800002770220252,POCT.K8.1.P71800002770200082
PDEC.223.1.P00730034,PDEC.223.1.P00420069	PJENN.M.1.P00130105,PJENN.M.1.P01390110	PNOV.TE.1.P02390020,PNOV.TE.1.P02890020	POCT.K8.1.P71800002770220247,POCT.K8.1.P71800002770200085
PDEC.223.1.P00730040,PDEC.223.1.P00420074	PJENN.M.1.P00130110,PJENN.M.1.P01390102	PNOV.TE.1.P02390014,PNOV.TE.1.P02890015	POCT.K8.1.P71800002770220241,POCT.K8.1.P71800002770200091
PDEC.223.1.P00730060,PDEC.223.1.P00420094	PJENN.M.1.P00130132,PJENN.M.1.P01390081	PNOV.TE.1.P11910003,PNOV.TE.1.P11790002	POCT.K8.1.P71800002770220222,POCT.K8.1.P71800002770200111
PDEC.223.1.P00730105,PDEC.223.1.P00420137	PJENN.M.1.P00130180,PJENN.M.1.P01390026	PNOV.TE.1.P02610043,PNOV.TE.1.P03090038	POCT.K8.1.P71800002770220184,POCT.K8.1.P71800002770200154
PDEC.223.1.P00730115,PDEC.223.1.P00420145	PJENN.M.1.P00130191,PJENN.M.1.P01390012	PNOV.TE.1.P02610032,PNOV.TE.1.P03090031	POCT.K8.1.P71800002770220172,POCT.K8.1.P71800002770200162
PDEC.223.1.P00730136,PDEC.223.1.P00420175	PJENN.M.1.P00130218,PJENN.M.1.P04000011	PNOV.TE.1.P02610010,PNOV.TE.1.P03090007	POCT.K8.1.P71800002770220151,POCT.K8.1.P71800002770200184
PDEC.223.1.P00730141,PDEC.223.1.P00420181	PJENN.M.1.P00130225,PJENN.M.1.P04000004	PNOV.TE.1.P02610005,PNOV.TE.1.P03090001	POCT.K8.1.P71800002770220145,POCT.K8.1.P71800002770200189
PDEC.223.1.P00430058,PDEC.223.1.P00080095	PJENN.M.1.P01440038	PNOV.TE.1.P00310017,PNOV.TE.1.P00290028	POCT.K8.1.P71800002769500055,POCT.K8.1.P71800002770410095
PDEC.223.1.P00430073,PDEC.223.1.P00080078	PJENN.M.1.P01440020	PNOV.TE.1.P00310032,PNOV.TE.1.P00290044	POCT.K8.1.P71800002769500070,POCT.K8.1.P71800002770410078
PDEC.223.1.P00430084,PDEC.223.1.P00080067	PJENN.M.1.P01440009	PNOV.TE.1.P00310043,PNOV.TE.1.P00290054	POCT.K8.1.P71800002769500082,POCT.K8.1.P71800002770410067
PDEC.223.1.P00430103	PJENN.M.1.P00860129,NA	PNOV.TE.1.P00290070	POCT.K8.1.P71800002769500104,POCT.K8.1.P71800002770410050
PDEC.223.1.P00430105,PDEC.223.1.P00080047	PJENN.M.1.P00860128,NA	PNOV.TE.1.P00310059,PNOV.TE.1.P00290071	POCT.K8.1.P71800002769500106,POCT.K8.1.P71800002770410049
PDEC.223.1.P00430125	PJENN.M.1.P01770031,PJENN.M.1.P03500020	PNOV.TE.1.P00310079	POCT.K8.1.P71800002769500126
PDEC.223.1.P00430132,PDEC.223.1.P00080021	PJENN.M.1.P01770024,PJENN.M.1.P03500012	PNOV.TE.1.P00310086,PNOV.TE.1.P00290097	POCT.K8.1.P71800002769500133,POCT.K8.1.P71800002770410021
PDEC.223.1.P00430141,PDEC.223.1.P00080010	PJENN.M.1.P01770014,PJENN.M.1.P03500003	PNOV.TE.1.P00290111	POCT.K8.1.P71800002769500142,POCT.K8.1.P71800002770410010
PDEC.223.1.P00430077,PDEC.223.1.P00080074	PJENN.M.1.P01440016	PNOV.TE.1.P00310037,PNOV.TE.1.P00290048	POCT.K8.1.P71800002769500075,POCT.K8.1.P71800002770410074
PDEC.223.1.P00430123	PJENN.M.1.P01770032	PNOV.TE.1.P00310078	POCT.K8.1.P71800002769500125
PDEC.223.1.P00430123	PJENN.M.1.P01770032	PNOV.TE.1.P00310078	POCT.K8.1.P71800002769500125
PDEC.223.1.P00440028,PDEC.223.1.P00500034	PJENN.M.1.P00660136,PJENN.M.1.P00670145	PNOV.TE.1.P00470083,PNOV.TE.1.P00450091	POCT.K8.1.P71800002769850032,POCT.K8.1.P71800002769680032
PDEC.223.1.P00440038	PJENN.M.1.P00660125,PJENN.M.1.P00670130	PNOV.TE.1.P00470075	POCT.K8.1.P71800002769850041
PDEC.223.1.P00440064	PJENN.M.1.P00660102,PJENN.M.1.P00670104	PNOV.TE.1.P00470054	POCT.K8.1.P71800002769850063
PDEC.223.1.P00440065,PDEC.223.1.P00500069	PJENN.M.1.P00660101,PJENN.M.1.P00670103	PNOV.TE.1.P00470053,PNOV.TE.1.P00450059	POCT.K8.1.P71800002769850064,POCT.K8.1.P71800002769680067
PDEC.223.1.P00440077,PDEC.223.1.P00500079	PJENN.M.1.P00660090,PJENN.M.1.P00670092	PNOV.TE.1.P00470042,PNOV.TE.1.P00450051	POCT.K8.1.P71800002769850075,POCT.K8.1.P71800002769680077
PDEC.223.1.P00440087	PJENN.M.1.P00660080	PNOV.TE.1.P00470034	POCT.K8.1.P71800002769850085
PDEC.223.1.P00440027,PDEC.223.1.P00500033	PJENN.M.1.P00670146	PNOV.TE.1.P00450092	POCT.K8.1.P71800002769850031,POCT.K8.1.P71800002769680031
PDEC.223.1.P00440031,PDEC.223.1.P00500038	PJENN.M.1.P00660132,PJENN.M.1.P00670140	PNOV.TE.1.P00470081,PNOV.TE.1.P00450087	POCT.K8.1.P71800002769850035,POCT.K8.1.P71800002769680036
PDEC.223.1.P00440044,PDEC.223.1.P00500050	PJENN.M.1.P00660120,PJENN.M.1.P00670124	PNOV.TE.1.P00470070,PNOV.TE.1.P00450074	POCT.K8.1.P71800002769850046,POCT.K8.1.P71800002769680048
PDEC.223.1.P00440057,PDEC.223.1.P00500062	PJENN.M.1.P00660110,PJENN.M.1.P00670112	PNOV.TE.1.P00470059,PNOV.TE.1.P00450065	POCT.K8.1.P71800002769850057,POCT.K8.1.P71800002769680059
PDEC.223.1.P00440060,PDEC.223.1.P00500064	PJENN.M.1.P00660108,PJENN.M.1.P00670110	PNOV.TE.1.P00470057,PNOV.TE.1.P00450063	POCT.K8.1.P71800002769850059,POCT.K8.1.P71800002769680061
PDEC.223.1.P00440090,PDEC.223.1.P00500092	PJENN.M.1.P00660077,PJENN.M.1.P00670077	PNOV.TE.1.P00470031,PNOV.TE.1.P00450038	POCT.K8.1.P71800002769850087,POCT.K8.1.P71800002769680091
PDEC.223.1.P00440118,PDEC.223.1.P00500120	PJENN.M.1.P00660045,PJENN.M.1.P00670046	PNOV.TE.1.P00470008,PNOV.TE.1.P00450010	POCT.K8.1.P71800002769850115,POCT.K8.1.P71800002769680122
PDEC.223.1.P00440137,PDEC.223.1.P00500138	PJENN.M.1.P00660025,PJENN.M.1.P00670027	PNOV.TE.1.P04180013,PNOV.TE.1.P04080014	POCT.K8.1.P71800002769850135,POCT.K8.1.P71800002769680140
PDEC.223.1.P00330082,PDEC.223.1.P00450087	PJENN.M.1.P02030046,PJENN.M.1.P01020053	PNOV.TE.1.P00170059,PNOV.TE.1.P00190078	POCT.K8.1.P71800002769220074,POCT.K8.1.P71800002769530074
PDEC.223.1.P00450088	PJENN.M.1.P02030047,PJENN.M.1.P01020054	PNOV.TE.1.P00170058,PNOV.TE.1.P00190080	POCT.K8.1.P71800002769530073
PDEC.223.1.P00450051	PJENN.M.1.P02030011,PJENN.M.1.P01020009	PNOV.TE.1.P00190038	POCT.K8.1.P71800002769530108
PDEC.223.1.P00330112,PDEC.223.1.P00450056	PJENN.M.1.P02030015,PJENN.M.1.P01020021	PNOV.TE.1.P00170085,PNOV.TE.1.P00190043	POCT.K8.1.P71800002769220103,POCT.K8.1.P71800002769530103
PDEC.223.1.P00450085	PJENN.M.1.P02030045	PNOV.TE.1.P00190077	POCT.K8.1.P71800002769530076
PDEC.223.1.P00330041,PDEC.223.1.P00450133	PJENN.M.1.P02420029,PJENN.M.1.P01020097	PNOV.TE.1.P00170019,PNOV.TE.1.P00190124	POCT.K8.1.P71800002769220037,POCT.K8.1.P71800002769530026
PDEC.223.1.P00330035,PDEC.223.1.P00450138	PJENN.M.1.P02420035,PJENN.M.1.P01020103	PNOV.TE.1.P00170013,PNOV.TE.1.P00190127	POCT.K8.1.P71800002769220031,POCT.K8.1.P71800002769530022
PDEC.223.1.P00300187,PDEC.223.1.P00460017	PJENN.M.1.P00030099,PJENN.M.1.P00050093	PNOV.TE.1.P09310007,PNOV.TE.1.P11470005	POCT.K8.1.P71800002769970076,POCT.K8.1.P71800002769890150
PDEC.223.1.P00460044	PJENN.M.1.P00030132,PJENN.M.1.P00050122	PNOV.TE.1.P00270021,PNOV.TE.1.P00210027	POCT.K8.1.P71800002769890123
PDEC.223.1.P00300123,PDEC.223.1.P00460059	PJENN.M.1.P00030154,PJENN.M.1.P00050145	PNOV.TE.1.P00210049,PNOV.TE.1.P00270039	POCT.K8.1.P71800002769970132,POCT.K8.1.P71800002769890104
PDEC.223.1.P00460066,PDEC.223.1.P00300110	PJENN.M.1.P00030163,PJENN.M.1.P00050157	PNOV.TE.1.P00270046,PNOV.TE.1.P00210059	POCT.K8.1.P71800002769890097,POCT.K8.1.P71800002769970144
PDEC.223.1.P00460087	PJENN.M.1.P00050184	PNOV.TE.1.P00270066	POCT.K8.1.P71800002769890074
PDEC.223.1.P00460088,PDEC.223.1.P00300086	PJENN.M.1.P00030189,PJENN.M.1.P00050185	PNOV.TE.1.P00270067,PNOV.TE.1.P00210083	POCT.K8.1.P71800002769890073,POCT.K8.1.P71800002769970169
PDEC.223.1.P00300078,PDEC.223.1.P00460096	PJENN.M.1.P00030200,PJENN.M.1.P00050192	PNOV.TE.1.P00270081	POCT.K8.1.P71800002769970178,POCT.K8.1.P71800002769890065
PDEC.223.1.P00300078,PDEC.223.1.P00460096	PJENN.M.1.P00030200,PJENN.M.1.P00050192	PNOV.TE.1.P00270081	POCT.K8.1.P71800002769970178,POCT.K8.1.P71800002769890065
PDEC.223.1.P00460098,PDEC.223.1.P00300075	PJENN.M.1.P00030204,PJENN.M.1.P00050195	PNOV.TE.1.P00270084,PNOV.TE.1.P00210097	POCT.K8.1.P71800002769890063,POCT.K8.1.P71800002769970181
PDEC.223.1.P00460099,PDEC.223.1.P00300074	PJENN.M.1.P00030205,PJENN.M.1.P00050196	PNOV.TE.1.P00270085,PNOV.TE.1.P00210098	POCT.K8.1.P71800002769890062,POCT.K8.1.P71800002769970182
PDEC.223.1.P00460102	PJENN.M.1.P00030210,PJENN.M.1.P00050200	PNOV.TE.1.P00270088,PNOV.TE.1.P00210101	POCT.K8.1.P71800002769890058
PDEC.223.1.P00460106,PDEC.223.1.P00300067	PJENN.M.1.P00030213,PJENN.M.1.P00050204	PNOV.TE.1.P00270091,PNOV.TE.1.P00210105	POCT.K8.1.P71800002769890054,POCT.K8.1.P71800002769970187
PDEC.223.1.P00460130,PDEC.223.1.P00300050	PJENN.M.1.P00030232,PJENN.M.1.P00050228	PNOV.TE.1.P00270112,PNOV.TE.1.P00210124	POCT.K8.1.P71800002769890029,POCT.K8.1.P71800002769970205
PDEC.223.1.P00460043,PDEC.223.1.P00300154	PJENN.M.1.P00030131,PJENN.M.1.P00050121	PNOV.TE.1.P00270020,PNOV.TE.1.P00210026	POCT.K8.1.P71800002769890124,POCT.K8.1.P71800002769970107
PDEC.223.1.P00460060,PDEC.223.1.P00300121	PJENN.M.1.P00050147	PNOV.TE.1.P00270040,PNOV.TE.1.P00210051	POCT.K8.1.P71800002769890103,POCT.K8.1.P71800002769970134
PDEC.223.1.P00460070,PDEC.223.1.P00300106	PJENN.M.1.P00030167,PJENN.M.1.P00050161	PNOV.TE.1.P00270050,PNOV.TE.1.P00210063	POCT.K8.1.P71800002769890093,POCT.K8.1.P71800002769970148
PDEC.223.1.P00460090,PDEC.223.1.P00300083	PJENN.M.1.P00030192,PJENN.M.1.P00050187	PNOV.TE.1.P00210087	POCT.K8.1.P71800002769890071,POCT.K8.1.P71800002769970173
PDEC.223.1.P00460107,PDEC.223.1.P00300066	PJENN.M.1.P00050205	PNOV.TE.1.P00270092,PNOV.TE.1.P00210106	POCT.K8.1.P71800002769890053,POCT.K8.1.P71800002769970188
PDEC.223.1.P00460120,PDEC.223.1.P00300059	PJENN.M.1.P00030223,PJENN.M.1.P00050218	PNOV.TE.1.P00210115	POCT.K8.1.P71800002769890040,POCT.K8.1.P71800002769970197
PDEC.223.1.P00670060,PDEC.223.1.P00470056	PJENN.M.1.P00550096	NA,PNOV.TE.1.P01070002	POCT.K8.1.P71800002770030050,POCT.K8.1.P71800002766590117
PDEC.223.1.P00670070,PDEC.223.1.P00470069	PJENN.M.1.P00550088	PNOV.TE.1.P00330052,PNOV.TE.1.P00620085	POCT.K8.1.P71800002770030058,POCT.K8.1.P71800002766590105
PDEC.223.1.P00670094,PDEC.223.1.P00470096	PJENN.M.1.P00550068,PJENN.M.1.P00450078	PNOV.TE.1.P00330074,PNOV.TE.1.P00620063	POCT.K8.1.P71800002770030085,POCT.K8.1.P71800002766590075
PDEC.223.1.P00470126	PJENN.M.1.P00450040,PJENN.M.1.P00550035	PNOV.TE.1.P00620036	POCT.K8.1.P71800002766590045
PDEC.223.1.P00470142	PJENN.M.1.P00450026,PJENN.M.1.P00550021	PNOV.TE.1.P00620022	POCT.K8.1.P71800002766590030
PDEC.223.1.P00670142,PDEC.223.1.P00470145	PJENN.M.1.P00450024,PJENN.M.1.P00550019	PNOV.TE.1.P00330115,PNOV.TE.1.P00620020	POCT.K8.1.P71800002770030127,POCT.K8.1.P71800002766590028
PDEC.223.1.P00670051,PDEC.223.1.P00470045	PJENN.M.1.P00550106,PJENN.M.1.P00450136	PNOV.TE.1.P00330037,PNOV.TE.1.P01070012	POCT.K8.1.P71800002770030042,POCT.K8.1.P71800002766590128
PDEC.223.1.P00470108	PJENN.M.1.P00450062,PJENN.M.1.P00550053	PNOV.TE.1.P00620050	POCT.K8.1.P71800002766590063
PDEC.223.1.P00470116	PJENN.M.1.P00450054,PJENN.M.1.P00550042	PNOV.TE.1.P00620043	POCT.K8.1.P71800002766590055
PDEC.223.1.P00670122,PDEC.223.1.P00470125	PJENN.M.1.P00450044,PJENN.M.1.P00550036	PNOV.TE.1.P00330099,PNOV.TE.1.P00620037	POCT.K8.1.P71800002770030112
PDEC.223.1.P00670144,PDEC.223.1.P00470148	PJENN.M.1.P00450021,PJENN.M.1.P00550017	PNOV.TE.1.P00330117,PNOV.TE.1.P00620017	POCT.K8.1.P71800002770030129,POCT.K8.1.P71800002766590025
PDEC.223.1.P00670144,PDEC.223.1.P00470148	PJENN.M.1.P00450021,PJENN.M.1.P00550017	PNOV.TE.1.P00330117,PNOV.TE.1.P00620017	POCT.K8.1.P71800002770030129,POCT.K8.1.P71800002766590025
PDEC.223.1.P00480044	NA,PJENN.M.1.P03510011	PNOV.TE.1.P01150005	POCT.K8.1.P71800002770470255
PDEC.223.1.P00590084,PDEC.223.1.P00480067	PJENN.M.1.P00630010,PJENN.M.1.P00170242	PNOV.TE.1.P02300028,PNOV.TE.1.P01150027	POCT.K8.1.P71800002770470229,POCT.K8.1.P71800002770390190
PDEC.223.1.P00590090,PDEC.223.1.P00480075	PJENN.M.1.P00630019,PJENN.M.1.P00170234	PNOV.TE.1.P02300033,PNOV.TE.1.P01150035	POCT.K8.1.P71800002770470223,POCT.K8.1.P71800002770390198
PDEC.223.1.P00480095	PJENN.M.1.P00630045	PNOV.TE.1.P01150052	POCT.K8.1.P71800002770390215
PDEC.223.1.P00590113,PDEC.223.1.P00480107	PJENN.M.1.P00630059,PJENN.M.1.P00170203	PNOV.TE.1.P04430003,PNOV.TE.1.P04440025	POCT.K8.1.P71800002770470198,POCT.K8.1.P71800002770390227
PDEC.223.1.P00590139,PDEC.223.1.P00480133	PJENN.M.1.P00630086,PJENN.M.1.P00170171	PNOV.TE.1.P04430029,PNOV.TE.1.P04440003	POCT.K8.1.P71800002770470173
PDEC.223.1.P00590157,PDEC.223.1.P00480155	PJENN.M.1.P00630111,PJENN.M.1.P00170145	PNOV.TE.1.P07660007,PNOV.TE.1.P07110006	POCT.K8.1.P71800002770470154,POCT.K8.1.P71800002770390277
PDEC.223.1.P00590070,PDEC.223.1.P00480053	NA,PJENN.M.1.P03510002	PNOV.TE.1.P02300014,PNOV.TE.1.P01150014	POCT.K8.1.P71800002770470244,POCT.K8.1.P71800002770390177
PDEC.223.1.P00590091,PDEC.223.1.P00480076	PJENN.M.1.P00630020,PJENN.M.1.P00170233	PNOV.TE.1.P02300034,PNOV.TE.1.P01150036	POCT.K8.1.P71800002770470222,POCT.K8.1.P71800002770390199
PDEC.223.1.P00590103,PDEC.223.1.P00480092	PJENN.M.1.P00630042,PJENN.M.1.P00170218	PNOV.TE.1.P02300047,PNOV.TE.1.P01150049	POCT.K8.1.P71800002770470208,POCT.K8.1.P71800002770390212
PDEC.223.1.P00480100	PJENN.M.1.P00630051	PNOV.TE.1.P01150057	POCT.K8.1.P71800002770390219
PDEC.223.1.P00490003,PDEC.223.1.P00220144	PJENN.M.1.P00540037,PJENN.M.1.P00440042	PNOV.TE.1.P00410067,PNOV.TE.1.P00610069	POCT.K8.1.P71800002770860058,POCT.K8.1.P71800002770830061
PDEC.223.1.P00490003,PDEC.223.1.P00220144	PJENN.M.1.P00540037,PJENN.M.1.P00440042	PNOV.TE.1.P00410067,PNOV.TE.1.P00610069	POCT.K8.1.P71800002770860058,POCT.K8.1.P71800002770830061
PDEC.223.1.P00490014,PDEC.223.1.P00220133	PJENN.M.1.P00540047,PJENN.M.1.P00440054	PNOV.TE.1.P00410057,PNOV.TE.1.P00610057	POCT.K8.1.P71800002770860069,POCT.K8.1.P71800002770830073
PDEC.223.1.P00490035	PJENN.M.1.P00540069,PJENN.M.1.P00440078	PNOV.TE.1.P00410037	POCT.K8.1.P71800002770860092
PDEC.223.1.P00490040	PJENN.M.1.P00440083	PNOV.TE.1.P00410032	POCT.K8.1.P71800002770860097
PDEC.223.1.P00490045,PDEC.223.1.P00220102	PJENN.M.1.P00540078,PJENN.M.1.P00440087	PNOV.TE.1.P00410027,PNOV.TE.1.P00610027	POCT.K8.1.P71800002770860101,POCT.K8.1.P71800002770830101
PDEC.223.1.P00490050,PDEC.223.1.P00220097	PJENN.M.1.P00540083	PNOV.TE.1.P00410022	POCT.K8.1.P71800002770860107,POCT.K8.1.P71800002770830106
PDEC.223.1.P00490052	PJENN.M.1.P00540085	PNOV.TE.1.P00410020	POCT.K8.1.P71800002770860109
PDEC.223.1.P00490113,PDEC.223.1.P00220041	PJENN.M.1.P00540155,PJENN.M.1.P00440152	PNOV.TE.1.P00660031,PNOV.TE.1.P00950036	POCT.K8.1.P71800002770860171,POCT.K8.1.P71800002770830161
PDEC.223.1.P00490141,PDEC.223.1.P00220004	PJENN.M.1.P01780078,PJENN.M.1.P01300027	PNOV.TE.1.P00660005,PNOV.TE.1.P00950005	POCT.K8.1.P71800002770860200,POCT.K8.1.P71800002770830195
PDEC.223.1.P00490009,PDEC.223.1.P00220139	PJENN.M.1.P00540042,PJENN.M.1.P00440048	PNOV.TE.1.P00410062,PNOV.TE.1.P00610063	POCT.K8.1.P71800002770860064,POCT.K8.1.P71800002770830067
PDEC.223.1.P00490016,PDEC.223.1.P00220131	PJENN.M.1.P00540049,PJENN.M.1.P00440056	PNOV.TE.1.P00410055,PNOV.TE.1.P00610055	POCT.K8.1.P71800002770860073,POCT.K8.1.P71800002770830076
PDEC.223.1.P00490018,PDEC.223.1.P00220129	PJENN.M.1.P00540051,PJENN.M.1.P00440058	PNOV.TE.1.P00410053,PNOV.TE.1.P00610053	POCT.K8.1.P71800002770860075,POCT.K8.1.P71800002770830078
PDEC.223.1.P00490020,PDEC.223.1.P00220127	PJENN.M.1.P00440060	PNOV.TE.1.P00410051,PNOV.TE.1.P00610051	POCT.K8.1.P71800002770860077,POCT.K8.1.P71800002770830080
PDEC.223.1.P00490024,PDEC.223.1.P00220121	PJENN.M.1.P00540056,PJENN.M.1.P00440065	PNOV.TE.1.P00410047,PNOV.TE.1.P00610046	POCT.K8.1.P71800002770860081,POCT.K8.1.P71800002770830085
PDEC.223.1.P00490029,PDEC.223.1.P00220114	PJENN.M.1.P00540064,PJENN.M.1.P00440071	PNOV.TE.1.P00410043,PNOV.TE.1.P00610039	POCT.K8.1.P71800002770860086,POCT.K8.1.P71800002770830092
PDEC.223.1.P00490029,PDEC.223.1.P00220114	PJENN.M.1.P00540064,PJENN.M.1.P00440071	PNOV.TE.1.P00410043,PNOV.TE.1.P00610039	POCT.K8.1.P71800002770860086,POCT.K8.1.P71800002770830092
PDEC.223.1.P00490031,PDEC.223.1.P00220112	PJENN.M.1.P00540066,PJENN.M.1.P00440073	PNOV.TE.1.P00410041,PNOV.TE.1.P00610037	POCT.K8.1.P71800002770860088,POCT.K8.1.P71800002770830093
PDEC.223.1.P00490031,PDEC.223.1.P00220112	PJENN.M.1.P00540066,PJENN.M.1.P00440073	PNOV.TE.1.P00410041,PNOV.TE.1.P00610037	POCT.K8.1.P71800002770860088,POCT.K8.1.P71800002770830093
PDEC.223.1.P00490037,PDEC.223.1.P00220107	PJENN.M.1.P00540071,PJENN.M.1.P00440080	PNOV.TE.1.P00410035,PNOV.TE.1.P00610032	POCT.K8.1.P71800002770860094,POCT.K8.1.P71800002770830097
PDEC.223.1.P00490038,PDEC.223.1.P00220106	PJENN.M.1.P00540072,PJENN.M.1.P00440081	PNOV.TE.1.P00410034,PNOV.TE.1.P00610031	POCT.K8.1.P71800002770860095,POCT.K8.1.P71800002770830098
PDEC.223.1.P00490051,PDEC.223.1.P00220096	PJENN.M.1.P00540084,PJENN.M.1.P00440094	PNOV.TE.1.P00410021,PNOV.TE.1.P00610022	POCT.K8.1.P71800002770860108,POCT.K8.1.P71800002770830107
PDEC.223.1.P00490083	PJENN.M.1.P00540121,PJENN.M.1.P00440122	PNOV.TE.1.P00660065	POCT.K8.1.P71800002770860137
PDEC.223.1.P00490095,PDEC.223.1.P00220056	PJENN.M.1.P00540133,PJENN.M.1.P00440134	PNOV.TE.1.P00660053	POCT.K8.1.P71800002770860151,POCT.K8.1.P71800002770830147
PDEC.223.1.P00490108,PDEC.223.1.P00220049	PJENN.M.1.P00540148,PJENN.M.1.P00440147	PNOV.TE.1.P00660037,PNOV.TE.1.P00950044	POCT.K8.1.P71800002770860166,POCT.K8.1.P71800002770830156
PDEC.223.1.P00490137	PJENN.M.1.P01300021,PJENN.M.1.P03610018	PNOV.TE.1.P00660008	POCT.K8.1.P71800002770860196
PDEC.223.1.P00490144,PDEC.223.1.P00220002	PJENN.M.1.P01780075,PJENN.M.1.P01300029	PNOV.TE.1.P00660002,PNOV.TE.1.P00950002	POCT.K8.1.P71800002770860203,POCT.K8.1.P71800002770830197
PDEC.223.1.P00500023	PJENN.M.1.P00660145,PJENN.M.1.P00670156	PNOV.TE.1.P00470095,PNOV.TE.1.P00450102	POCT.K8.1.P71800002769680022
PDEC.223.1.P00500023	PJENN.M.1.P00660145,PJENN.M.1.P00670156	PNOV.TE.1.P00470095,PNOV.TE.1.P00450102	POCT.K8.1.P71800002769680022
PDEC.223.1.P00440065,PDEC.223.1.P00500069	PJENN.M.1.P00660101,PJENN.M.1.P00670103	PNOV.TE.1.P00470053,PNOV.TE.1.P00450059	POCT.K8.1.P71800002769850064,POCT.K8.1.P71800002769680067
PDEC.223.1.P00440077,PDEC.223.1.P00500079	PJENN.M.1.P00660090,PJENN.M.1.P00670092	PNOV.TE.1.P00470042,PNOV.TE.1.P00450051	POCT.K8.1.P71800002769850075,POCT.K8.1.P71800002769680077
PDEC.223.1.P00440084,PDEC.223.1.P00500089	PJENN.M.1.P00660081,PJENN.M.1.P00670082	PNOV.TE.1.P00470036,PNOV.TE.1.P00450041	POCT.K8.1.P71800002769850084,POCT.K8.1.P71800002769680087
PDEC.223.1.P00500090	PJENN.M.1.P00670081	PNOV.TE.1.P00470035,PNOV.TE.1.P00450040	POCT.K8.1.P71800002769680088
PDEC.223.1.P00440112,PDEC.223.1.P00500112	PJENN.M.1.P00660051,PJENN.M.1.P00670054	PNOV.TE.1.P00470011,PNOV.TE.1.P00450018	POCT.K8.1.P71800002769850110,POCT.K8.1.P71800002769680115
